run,symbol,entry_date,entry_price,exit_date,exit_price,qty,exit_reason
ml_net,SAREGAMA,2026-03-20T00:00:00+00:00,344.1,2026-03-27T00:00:00+00:00,330.35,53,rank_dropout
ml_net,KIRLOSENG,2026-02-13T00:00:00+00:00,1379.9,2026-04-02T00:00:00+00:00,1383.9,36,rank_dropout
ml_net,PGEL,2026-03-20T00:00:00+00:00,512.75,2026-04-02T00:00:00+00:00,454.45,97,rank_dropout
ml_net,SCHNEIDER,2026-03-27T00:00:00+00:00,876.75,2026-04-02T00:00:00+00:00,906.05,17,rank_dropout
ml_net,GMDCLTD,2026-03-27T00:00:00+00:00,566.6,2026-04-10T00:00:00+00:00,603.1,88,rank_dropout
ml_net,NAVA,2026-03-27T00:00:00+00:00,550.05,2026-04-10T00:00:00+00:00,601.95,90,rank_dropout
ml_net,SARDAEN,2026-02-20T00:00:00+00:00,512,2026-04-17T00:00:00+00:00,595.5,97,rank_dropout
ml_net,PARADEEP,2026-04-02T00:00:00+00:00,115.37,2026-04-17T00:00:00+00:00,124.33,94,rank_dropout
ml_net,ANANDRATHI,2026-04-10T00:00:00+00:00,1789.25,2026-04-17T00:00:00+00:00,1844.9,27,rank_dropout
ml_net,KAYNES,2026-04-10T00:00:00+00:00,3896.3,2026-04-17T00:00:00+00:00,4214.4,2,rank_dropout
ml_net,FORCEMOT,2025-10-03T00:00:00+00:00,16807,2026-04-24T00:00:00+00:00,20347,2,rank_dropout
ml_net,IFCI,2026-03-13T00:00:00+00:00,57.21,2026-04-24T00:00:00+00:00,59.5,873,rank_dropout
ml_net,INOXWIND,2026-04-10T00:00:00+00:00,86.88,2026-04-24T00:00:00+00:00,100.13,575,rank_dropout
ml_net,SCI,2026-04-17T00:00:00+00:00,305.87,2026-04-24T00:00:00+00:00,288.29,1,rank_dropout
ml_net,NATIONALUM,2025-12-26T00:00:00+00:00,306.85,2026-04-30T00:00:00+00:00,399.3,162,rank_dropout
ml_net,TARIL,2026-03-06T00:00:00+00:00,293.65,2026-04-30T00:00:00+00:00,334.2,170,rank_dropout
ml_net,GALLANTT,2026-04-02T00:00:00+00:00,555.9,2026-04-30T00:00:00+00:00,861.85,89,rank_dropout
ml_net,SPLPETRO,2026-04-17T00:00:00+00:00,774.8,2026-04-30T00:00:00+00:00,757.3,38,rank_dropout
ml_net,JINDALSAW,2026-04-24T00:00:00+00:00,239.73,2026-04-30T00:00:00+00:00,222.75,208,rank_dropout
ml_net,JKTYRE,2026-02-06T00:00:00+00:00,541.45,2026-05-08T00:00:00+00:00,405.95,3,rank_dropout
ml_net,COHANCE,2026-03-27T00:00:00+00:00,302.7,2026-05-08T00:00:00+00:00,488.2,165,rank_dropout
ml_net,GMDCLTD,2026-04-17T00:00:00+00:00,736.9,2026-05-08T00:00:00+00:00,684.7,67,rank_dropout
ml_net,GRSE,2026-04-24T00:00:00+00:00,2878.7,2026-05-08T00:00:00+00:00,3051.3,17,rank_dropout
ml_net,HSCL,2026-04-30T00:00:00+00:00,607.75,2026-05-08T00:00:00+00:00,637.65,43,rank_dropout
